Date,MSFT,AAPL,NFLX,WFC,ABT,GOOG,AMZN,JNJ,GS
2013-07-12,30.47603607,13.44569492,36.7514267,33.85036087,30.53998947,459.7766418,307.5499878,73.75133514,142.98703
2013-07-15,30.90322876,13.47501755,36.85428619,34.42206573,30.6783371,460.6184998,306.5700073,74.08735657,145.5679474
2013-07-16,30.98867798,13.56202412,37.2114296,34.16003418,30.86856842,458.0879822,306.8699951,74.08735657,143.1031036
2013-07-17,30.53585434,13.56549168,38.27428436,34.54911041,30.97231674,457.559967,308.6900024,73.86608124,144.2284088
2013-07-18,30.27953148,13.61120319,38.05857086,35.26376343,30.86856842,453.6396484,304.1099854,73.89886475,146.5145264
2013-07-19,26.82780266,13.39652061,37.79714203,35.29552841,31.01555443,446.625946,305.230011,75.58715057,146.782486
2013-07-22,27.34897995,13.43939304,37.42285538,35.43845367,30.95502281,453.6495972,303.480011,75.62812042,148.4703827
2013-07-23,27.18664742,13.20862961,35.7514267,35.39081955,31.71592331,450.2124939,301.0599976,75.74285889,148.4792938
2013-07-24,27.30626106,13.88704681,34.47142792,35.18436813,31.51706505,449.7641602,298.9400024,75.69366455,147.3897705
2013-07-25,26.81925964,13.82368374,35.2485733,34.66028976,31.62947083,442.1925659,303.3999939,75.86579895,148.1667328
2013-07-26,27.01577187,13.90217876,35.18714142,34.54911041,31.8024025,441.0219421,312.0100098,76.07888031,147.5862274
2013-07-29,26.94742203,14.11654949,34.99428558,34.34267044,31.7678051,439.4877014,306.1000061,76.39031982,145.7197418
2013-07-30,27.21228027,14.29088116,34.8228569,34.35060501,31.88887787,443.7965393,302.4100037,76.35752106,145.0588837
2013-07-31,27.20373535,14.265975,34.92571259,34.54117966,31.67269897,442.2174683,301.2200012,76.62797546,146.4878082
2013-08-01,27.05849075,14.39680481,35.58856964,35.14465332,31.85427856,450.4217224,305.5700073,76.84925079,149.577774
2013-08-02,27.24645233,14.58154011,35.16857147,35.3272934,31.77645302,451.5923157,304.2099915,77.35738373,149.6938477
2013-08-05,27.08412361,14.79937553,36.26285553,35.2081871,31.51706505,450.8102417,300.9899902,76.87384033,150.3190155
2013-08-06,26.98159599,14.66697502,36.55714417,34.96201706,31.21442413,446.6109924,300.75,76.88202667,147.157608
2013-08-07,27.39169693,14.65846252,35.60142899,34.59425354,31.06743622,443.6620483,296.9100037,76.7591095,145.9698334
2013-08-08,28.10084534,14.62927055,35.77142715,34.55428314,31.0587883,444.6632996,295.7399902,76.49684906,145.4250641
2013-08-09,27.93851471,14.42109966,36.1071434,34.5622673,31.03285408,443.5424805,297.2600098,75.69366455,144.7909851
